course_num,course_name,description
CMPT 371,"Data Communications and Networking
		
			(3)","Data communication fundamentals (data types, rates, and transmission media). Network architectures for local and wide areas. Communications protocols suitable for various architectures. ISO protocols and internetworking. Performance analysis under various loadings and channel error rates. Prerequisite:CMPT 225and (MATH 151orMATH 150), with a minimum grade of C-.MATH 154orMATH 157with a grade of at least B+ may be substituted forMATH 151(MATH 150)."
CMPT 372,"Web II - Server-side Development
		
			(3)","Introduces students to the fundamentals of server-side web development. Students will gain experience working with backend web frameworks, designing and implementing web APIs, and deploying web systems. Students will be introduced to popular back-end frameworks. The course will focus on the design, creating, implementation, and deployment of backend systems, including APIs. Prerequisite:CMPT 272andCMPT 225, both with a minimum grade of C-. Students with credit for CMPT 470 may not take this course for further credit."
CMPT 373,"Software Development Methods
		
			(3)","Survey of modern software development methodology. Several software development process models will be examined, as will the general principles behind such models. Provides experience with different programming paradigms and their advantages and disadvantages during software development. Prerequisite:CMPT 276or275, with a minimum grade of C-."
CMPT 376W,"Professional Responsibility and Technical Writing
		
			(3)","Covers professional writing in computing science, including format conventions and technical reports. The basis for ethical decision-making and the methodology for reaching ethical decisions concerning computing matters will be studied. Students will survey and write research papers, and both individual and group work will be emphasized. Prerequisite:CMPT 105Wand (CMPT 275orCMPT 276), with a minimum grade of C-. Writing."
CMPT 379,"Principles of Compiler Design
		
			(3)","This course covers the key components of a compiler for a high level programming language. Topics include lexical analysis, parsing, type checking, code generation and optimization. Students will work in teams to design and implement an actual compiler making use of tools such as lex and yacc.  Prerequisite: (MACM 201orCMPT 210), (CMPT 295orENSC 254) andCMPT 225, all with a minimum grade of C-."
CMPT 383,"Comparative Programming Languages
		
			(3)","Various concepts and principles underlying the design and use of modern programming languages are considered in the context of procedural, object-oriented, functional and logic programming languages. Topics include data and control structuring constructs, facilities for modularity and data abstraction, polymorphism, syntax, and formal semantics. Prerequisite:CMPT 225and (MACM 101or (ENSC 251andENSC 252)), all with a minimum grade of C-."
CMPT 384,"Symbolic Computing
		
			(3)","This course considers modelling and programming techniques appropriate for symbolic data domains such as mathematical expressions, logical formulas, grammars and programming languages. Topics include recursive and functional programming style, grammar-based data abstraction, simplification and reduction transformations, conversions to canonical form, environment data structures and interpreters, metaprogramming, pattern matching and theorem proving. Prerequisite:CMPT 225and (MACM 101or (ENSC 251andENSC 252)), all with a minimum grade of C-."
CMPT 400,"3D Computer Vision
		
			(3)","Advanced topics in 3D vision covering topics including acquisition, processing, and synthesis of 3D content. The course introduces 3D representations amenable to computer vision (from classical polygonal meshes to neural fields), and fundamentals of non-linear optimization to effectively tackle inverse 3D vision problems. Prerequisite:CMPT 361andMACM 316, both with a minimum grade of C-. Recommended:MATH 251. Students who have takenCMPT 469under the title ""3D Computer Vision"" offered in Spring 2024 may not take this course for further credit."
CMPT 401,"Computability and Logic
		
			(3)","Explores the nature and limitations of computation and logic, and how they are connected. Topics include: Computable functions, Church's thesis, computationally unsolvable problems, recursively enumerable sets; Predicate calculus, including the completeness, compactness, and Lowenheim-Skolem theorems; Formal theories and the Gödel Incompleteness Theorem. Prerequisite: One ofCMPT 307,PHIL 310,MACM 201; or a minimum of six upper division units in MATH. Students with credit forCMPT 409under the title ""Computability and Logic"" may not take this course for further credit."
CMPT 403,"System Security and Privacy
		
			(3)","Starting from cybersecurity principles, students will learn to protect systems from attacks on data confidentiality, integrity, system availability, and user privacy. By modeling system security, students will learn to find weaknesses in software, hardware, networks, data storage systems, and the Internet, and identify current security practices to protect these systems. Prerequisite:CMPT 201orCMPT 300orENSC 351, with a minimum grade of C-."
